Empresa,Municípios Servidos,População Servida (hab),Total RU Recebidos (ton),RU Indiferenciados Municipais (ton),RU Indiferenciados Outros Produtores (ton),Total RU Indiferenciados (ton),Recolha Seletiva Multimaterial (ton),Biorresíduos e Verdes Seletivos (ton),Outros Fluxos Seletivos / Complementares (ton),Total Recolha Seletiva (ton),Recicláveis Vendidos - Embalagem (ton),Recicláveis Vendidos - Não Embalagem (ton),Energia Vendida (GWh)
ALGAR,16,481370,433404,319582,20299,339881,45715,N/D,N/D,45715,37157,5108,21.313
AMARSUL,9,829211,510913,405280,1955,407235,45718,25204,1245,72167,38419,7580,21.003
ERSUC,36,947519,429859,356584,6841,363425,66434,7820,N/D,66434,44263,9051,30.119
RESIESTRELA,14,181393,83476,71039,285,71324,12152,N/D,N/D,12152,7924,1697,4.054
RESINORTE,35,904000,425815,343410,959,344369,59696,13138,9570,82404,46000,10000,16.302
RESULIMA,6,313183,149391,124779,535,125314,19619,3180,1278,24077,16417,3753,8.207
SULDOURO,2,444591,207909,176910,0,176910,30999,230,N/D,31229,20296,5089,17.487
VALORMINHO,6,73902,41866,34174,234,34408,4848,1319,1291,7458,3752,1141,1.626
VALORLIS,6,311000,140364,117507,0,117507,18310,3602,946,22858,19252,N/D,10.329
VALORSUL,19,1600000,841863,675054,7798,682852,108316,50695,N/D,159011,82847,26137,372.000
