Empresa,Receita Energia (€),Energia Vendida (GWh),Receita Recicláveis (€),Recicláveis Vendidos (ton)
ALGAR,2280294,21.313,7497479,42265
AMARSUL,2622265,21.003,8880070,45999
ERSUC,3983884,30.119,10051664,53314
LIPOR,13000000,185.044,10330000,24222
RESIESTRELA,561024,4.054,2135700,9621
RESINORTE,2055063,16.302,9601263,56000
RESULIMA,1043718,8.207,4068634,20170
SULDOURO,1829176,17.487,4780213,25385
TRATOLIXO,1500000,19.531,10700000,64632
AMBISOUSA,339157,4.222,2961734,13008
VALNOR,241229,1.999,2958002,14583
AMBILITAL,0,0.000,1818644,5590
BRAVAL,331099,6.500,3201660,17918
ECOLEZIRIA,70875,0.000,1133169,N/D
RESIALENTEJO,0,0.000,2247118,6494
RSTJ,0,0.000,N/D,N/D
VALORMINHO,207526,1.626,876014,4893
VALORLIS,1422557,10.329,4724839,19252
VALORSUL,26732240,372.000,21068798,108984
