Empresa,Link Relatório & Contas 2024
ALGAR,https://www.algar.com.pt/media/bxhj2k0g/algar_rc2024.pdf
AMARSUL,https://www.amarsul.pt/media/sj5p3dgv/amarsul_rc.pdf
ERSUC,https://www.ersuc.pt/media/kbkdkvg5/ersuc_rc_2024_.pdf
RESIESTRELA,https://www.resiestrela.pt/media/lktlbn4s/resiestrela_rc.pdf
RESINORTE,https://www.resinorte.pt/media/xb4jdolu/resinorte_rc.pdf
RESULIMA,https://www.resulima.pt/media/cpmhgd1b/scan_28032025_170219_1-1.pdf
SULDOURO,https://www.suldouro.pt/media/h3xocb1k/suldouro_rc_2024.pdf
VALORMINHO,https://www.valorminho.pt/media/r2nhgebj/rc-2024-assinado.pdf
VALORLIS,https://www.valorlis.pt/media/0hhkidhp/valorlis_rc.pdf
VALORSUL,https://www.valorsul.pt/media/fn3ic3xc/valorsul_rc-2024.pdf
LIPOR,https://www.lipor.pt/fotos/gca/lipor_relatoyrio_integrado_2024_final_v4_8148231956852911b6ccf7.pdf
TRATOLIXO,https://www.tratolixo.pt/media/v34n4gul/rc24_producao_site.pdf
AMBISOUSA,https://www.ambisousa.pt/fotos/editor2/relatorio/2024/rc_2024site.pdf
VALNOR,https://www.valnor.pt/media/1jjcxy3k/rc-valnor-2024_assin.pdf
AMBILITAL,https://ambilital.pt/media/fgnbba5l/relat%C3%B3rio-e-contas-anuais-2024.pdf
